,
,System is very stable with little edits made over the last 2 years in the crm. No close to hitting and field or API limit so no need to refine code. System at the stage they need to tell us what isnt working for them to provide more of a focus then a generic health check since nothing is bad enough to be worth their time us making edits.The small things I have noticed can be seen belowl,,
Overview,,,
,
,
Section,Task,Status,Comments
General Settings,Section Overview,,
General Settings,Verify company details,,
General Settings,Check fiscal year settings,,
General Settings,Review language and time zone settings,,
General Settings,Check currency settings,,
General Settings,Review email settings,bad,most users have no set up imap
General Settings,Check if Client Portal Enabled,,
General Settings,Check for: Outdated company details,,
General Settings,Check for: Incorrect fiscal year settings,,
General Settings,Check for: Incorrect language and time zone settings,,
General Settings,Sandbox,,Enabled but not used for over 2 years
General Settings,Check for: Incorrect currency settings,,
General Settings,Check for: Incorrect email settings,,
General Settings,Language Import History,,
General Settings,modules edited,ook,most have not been edited since 2023-2024. May be worth reviewing what works and not or what has changed
General Settings,Check if Multiple languages are enabled,,
General Settings,Data Backups enabled,ok,Sharon is using it
General Settings,Email Authentication,ok,Your account's credibility score Since April 2025  0 Credibility score factors Spam Complaints Low Bounce Volume 0% (Low)
Modules,Section Overview,,
Modules,Verify module visibility,,Suggest to hide modules clearly not being used
Modules,Check module layouts,,"Leads: only 1 record using the digital imagey layout = remove?
Opportunities: All 4 layouts seem to be the same. Needed?"
Modules,Lead Conversion,ok,All correct
Modules,Review custom fields,,
Modules,Ensure picklist values are accurate,,
Modules,Review module permissions,,
Modules,Check for: Unused fields,,
Modules,Check for: Unused modules,,
Modules,Check for: Outdated custom fields,,
Modules,Check for: Inaccurate picklist values,,
Modules,Check for: Incorrect module permissions,,
Blueprints,Section Overview,,No Blueprints
Blueprints,Verify blueprint stages,,
Blueprints,Check transition settings,,
Blueprints,Review validation rules,,
Blueprints,Ensure email notifications are set,,
Blueprints,Check blueprint permissions,,
Blueprints,Check for: Unused blueprints,,
Blueprints,Check for: Outdated blueprint stages,,
Blueprints,Check for: Incorrect transition settings,,
Blueprints,Check for: Outdated validation rules,,
Blueprints,Check for: Incorrect blueprint permissions,,
Functions,Section Overview,,
Functions,Check how close they are to API Limit,,Average 1% last 30 days
Functions,Connections,,2 that are to expire soon and need to be migration to 0-auth
Functions,Verify custom functions,,
Functions,Check function triggers,,
Functions,Review function code for errors,,
Functions,Ensure functions are up to date,,
Functions,Check function permissions,,
Functions,Check for: Unused custom functions,,
Functions,Check for: Outdated function triggers,,
Functions,Check for: Errors in function code,,
Functions,Check for: Client Scripts,,
Functions,Check for: Widgets,,
Functions,Check for: Outdated functions,,
Functions,Check for: Incorrect function permissions,,
Functions,Check Error Log and find functions failing,,99% of faliures are from : - BANTS Calculation - Float Pull. Suggest we look into fixing error
Workflows,Section Overview,,
Workflows,Verify workflow rules,,
Workflows,Check workflow triggers,,
Workflows,Review workflow actions,,
Workflows,Ensure email alerts are set,,
Workflows,Check workflow permissions,,
Workflows,Check for: Unused workflow rules,,
Workflows,Check for: Outdated workflow triggers,,
Workflows,Check for: Incorrect workflow actions,,
Workflows,Check for: Missing email alerts,,
Workflows,Check for: Incorrect workflow permissions,,
Email Templates,Section Overview,,
Email Templates,Verify email template content,,
Email Templates,Check template variables,,
Email Templates,Review email template layout,,
Email Templates,Ensure templates are up to date,,
Email Templates,Check template permissions,,
Email Templates,Check for: Unused email templates,,
Email Templates,Check for: Incorrect template variables,,
Email Templates,Check for: Outdated email template layout,,
Email Templates,Check for: Outdated templates,,
Email Templates,Check for: Incorrect template permissions,,
Merge Templates,Section Overview,,
Merge Templates,Verify merge template content,,
Merge Templates,Check template variables,,
Merge Templates,Review merge template layout,,
Merge Templates,Ensure templates are up to date,,
Merge Templates,Check template permissions,,
Merge Templates,Check for: Unused merge templates,,
Merge Templates,Check for: Incorrect template variables,,
Merge Templates,Check for: Outdated merge template layout,,
Merge Templates,Check for: Outdated templates,,
Merge Templates,Check for: Incorrect template permissions,,
Integrations,Section Overview,,
Integrations,Verify integration settings (Marketplace and Channels),,
Integrations,Check integration permissions,,
Integrations,Review data sync settings,,
Integrations,Ensure integrations are up to date,,
Integrations,Check integration logs,,
